#Gene name	I/C_0h	I/C_2h	I/C_6h	I/C_12h	I/C_18h	I/C_24h
ENSMUSG00000042660	-0.212712989	0.164515042	0.145801574	0.213227727	0.114648392	0.241100163
ENSMUSG00000045942	0.393885576	0.272372298	0.074062288	0.03349903	-0.162790641	0.048943432
ENSMUSG00000036943	0.614822013	-0.099259599	0.162749482	-0.144331303	-0.191677668	-0.077122742
ENSMUSG00000085793	0.037125593	-0.474780376	-0.450580035	-0.333095291	-0.464648852	-0.350521152
ENSMUSG00000036941	0.868399303	0.143335645	0.931662787	-0.066926906	0.339788861	0.155818078
ENSMUSG00000085795	0.637524366	0.041355297	0.306533042	-0.181956716	0.103267919	-0.015475151
ENSMUSG00000036944	0.25281260725	0.03126785225	0.064441409	0.14523677775	0.338510059	0.1990184065
ENSMUSG00000028992	0.56307582	-0.114012322	0.091659518	-0.3106745	-0.08284576	-0.220303833
ENSMUSG00000036948	0.360019274	0.159129166	0.086485368	-0.290613438	0.050037877	-0.189019441
ENSMUSG00000028991	0.014445448	-0.327152275	-0.434701435	-0.499429709	-0.288504622	-0.50219523
