Gene name	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
ENSMUSG00000087578	-0.0568688979993	-0.0676913574575	-0.116335361722	-0.116377442904	-0.119123509754	-0.130393743911
ENSMUSG00000058569	0.0507233986488	0.0305686502438	0.0384051116705	-0.0152750191596	0.0142348158061	0.000763476563467
ENSMUSG00000000605	0.0955274183723	0.020207235975	-0.10599739132	-0.0553720308535	-0.182009223035	-0.069090423484
ENSMUSG00000036769	0.0977701570672	0.0298867901543	-0.00268198139493	-0.0751026669575	-0.0493171923829	-0.057302485649
ENSMUSG00000021583	0.0129361809484	-0.0583831046965	-0.0307775253462	-0.180305335986	-0.0975385438043	-0.169712249244
ENSMUSG00000073867	0.0721138493979	-0.0426158000486	-0.060378033214	-0.0775406362032	-0.0613650240562	-0.0692461264437
ENSMUSG00000074384	0.0440932917701	0.0820747329725	-0.0268332055952	0.0573288308872	-0.0237386309452	0.0373622738267
ENSMUSG00000021585	0.0719269807413	0.000379636840114	-0.024809586094	-0.0636936624329	-0.0419069719973	-0.0556803141659
ENSMUSG00000086993	0.0612952646635	-0.0666276787449	-0.0060188341335	-0.115631630022	-0.0556199677975	-0.0940123856412
ENSMUSG00000074388	0.0855328803036	-0.0942989867511	-0.00732132030165	-0.0787838199142	0.0276893984593	-0.0464977331155
ENSMUSG00000021589	-0.132190214975	-0.0287965238164	-0.0853164855777	0.0381916097513	-0.0602695907909	0.0161518429069
ENSMUSG00000001098	0.143699282231	0.0198370461518	0.0832800342628	0.000545122549347	0.0122131544261	0.0161832182178
ENSMUSG00000037143	-0.00649110841162	0.00631329995029	0.0229301779196	0.00508031920407	0.00392462231798	0.00846744914326
ENSMUSG00000054293	-0.0184955969621	-0.0987741581095	-0.17089151479	0.0996021347435	-0.084519935869	0.0420882702946
ENSMUSG00000037149	0.0916030140006	-0.119667661746	-0.0520121847031	-0.0900756067839	-0.0949681041966	-0.112917543025
ENSMUSG00000084845	0.0941263163854	-0.110110111824	-0.0791961824006	-0.155633896345	-0.033028285747	-0.145257246035
ENSMUSG00000020309	0.0371798677101	-0.0320723594838	-0.0813361689127	-0.00909962923349	0.0195429690567	-0.0102430097402
