Prot_name	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
Csnk2b	0.0292724029039443	-0.0146710582475218	0.0132647556420278	0.0581641589227721	-0.0244271342466774	-0.0144559658197504
Ercc6l	0.032874132306104	0.0588922047338284	-0.0254597600123763	-0.0242778195612708	-0.029859851107004	-0.100185067705849
Slc4a7	0.018697837558006	0.0737411808976039	-0.00822086093505679	-0.0832772282128681	-0.110133639949913	-0.152780664946628
Tma7	0.0515549550461219	-0.0577614250440907	-0.128478935142634	-0.152377441215075	-0.0388008135237553	0.0494094200185694
Cth	0.00492522304391283	0.0105798547047412	0.0375005731934175	-0.00453690884845468	-0.17033544425997	-0.0285964966265685
Pura	-0.0878857022225556	0.0278011275071075	0.00240497482870288	0.0214435586360348	-0.000456991052661015	0.0846797752326358
Myo1g	-0.130269316947809	0.129355182123814	-0.00474617744465237	0.0874922238518145	0.134847081939529	0.154661780346235
Pmpca	0.0269490579900471	-0.125151945350714	0.0837268186308594	-0.00823160286294074	-0.0145263456118719	-0.184390818002887
Gatad2b	0.0731133011785526	-0.065509202784113	0.148506423916162	0.011591833928147	0.226522829147268	0.151768856084873
Hccs	-0.0735829209769522	-0.119504220576885	-0.0115750571204951	-0.0567327456768758	-0.168819878624261	-0.0267727485133458
Eif4e	0.0570920574395266	-0.0546309564719864	-0.0105033488434851	-0.0173525049856559	-0.10327340979376	-0.159152240963184
Acsl5	-0.00759542056879988	-0.0654436180053993	0.0287229226840883	-0.0660133241391399	-0.0991718382147034	-0.189892464216908
Cirh1a	-0.0237075070995494	-0.0266499199926862	0.0288306903099413	-0.0493745895338709	-0.0530861947899659	-0.0959782306416552
Tmem33	0.000491307260898941	-0.0421965711832996	0.00819636596003319	0.0277049953206098	-0.16163211058449	-0.221766923180562
Gsr	0.0438660283736263	-0.037966131969569	0.0633329568673281	0.00155082225082296	-0.0612795991435816	-0.0677355216079953
Nup98	0.0100719795636063	-0.100642822614729	0.0187292858053038	-0.175118068954566	0.0558971956567498	0
Gmds	-0.00507958176308985	-0.0315434037453681	0.0242551816132388	-0.0655205488428889	-0.00581947946793656	-0.262567344458495
Ddx54	0.104234779832187	0.0442862503305615	0.00403698435047911	-0.138417421490034	-0.192918066966726	-0.103729042155615
D10Jhu81e	-0.00625947453216661	0.0114664945313534	0.0608243010108997	0.0839671331601365	0.0597717089491452	-0.104215684405027
Arl6ip5	0.0235933842560863	-0.0429579968001612	-0.0338258794213177	-0.0884544119647092	0.0195373495485301	-0.0797419132886227
Acp1	0.140366614947676	0.0342833603152319	0.0189318667707006	0.121763844633671	-0.115557890351944	-0.129959096211022
Ppp1r18	-0.0431601421297786	-0.0558162911994979	-0.0194656980745152	-0.122482686122368	-0.194865819061787	-0.334561240804727
Cops3	0.0530963701194857	-0.0334316690112674	-0.0300653470839626	-0.0210202312791219	-0.0234133805109037	-0.1630185739005
Lamp2	0.0188516624038389	0.0768105229917807	0.0156828044020602	0.0814204303082393	0.0493168068751011	0.0384270339902135
Scd1	0.00411159530986025	0.115519316320271	0.00532966790760377	-0.189660330819202	-0.0777973459026552	-0.0219786653865891
Fmr1	0.0387408151925462	0.00890930713388296	-0.0308933245679784	-0.189390873528002	0.00013092946377663	-0.0663908049031641
Zc3h18	-0.0366093042453703	-0.0580989628432009	0.0388008255992324	-0.0976311011356785	-0.0355625190928002	-0.051630865040574
Dpy30	0.0307907630831951	-0.132350189418157	-0.0130608081088421	-0.17880940586235	-0.0101598330676169	-0.173062099675047
Reep5	0.0797826832504387	-0.0408308522847233	-0.0709602023247443	-0.0712681032318353	0.171219678987073	0.0215679139343969
Fam98b	0.0989671042510227	0.00668070656341823	0.0186705122400616	-0.0424782546138134	0.162904815775201	0.0587659565733728
Rdx	0.0268798649011688	0.0830519971860945	-0.0480785466385637	-0.0259546557332232	-0.131670392651126	-0.140879749150766
Sec61a1	-0.0914434928383476	-0.0691420984112279	-0.210374511349735	-0.289671167343133	-0.0650164892151602	-0.143731068873715
Pitrm1	-0.0581695413857483	-0.0859739330722347	0.0118050758795827	-0.133882291808219	0.0663834959765759	-0.0420110339340032
Acot13	0.00643186812264912	-0.0377706019063254	0.0491632438288361	-0.165066900456564	0.0208635295713997	0.00822117878518868
Sugt1	0.0661735942542254	-0.0478986382763776	0.0180306402510796	-0.0526845177811918	0.123116313197306	0.145994562186405
Tpd52l2	0.0649310462130791	-0.00276574274812506	0.0188003199733376	0.0645818121569176	0.0721232346334269	-0.176954047612336
Stk4	0.177264967572643	0.01916740122723	0.00208460128724414	0.114619902842899	0.168716535957717	0.0758357997714509
Pole3	0.0587944813844106	-0.0190061847388285	-0.0334756969459166	-0.000628067807972228	-0.0298662699510899	-0.160244655879737
Gstp1	0.131547480181931	-0.0333267478404428	0.0316747958498137	0.150022420049412	0.171815450329254	-0.0331380014146015
Fkbp1a	0.0392559985972153	0.107384026177424	-0.0526887645585889	-0.113976126819657	-0.00992893366625217	-0.073890085837675
Rps27l	0.0114022022021939	0.0388542627884253	-0.0285969322914617	0.178622654970028	0.0561494149873776	0.047999278321375
Rbm28	-0.0322159490096167	-0.0943044289061293	0.0220990989262095	0.0718266883349581	0.0933073794495611	-0.143901370775697
Akr1c13	-0.00234740054331618	-0.0257118860927186	-0.0276685239620376	0.139601343053792	0.247050724728779	0.105936315658223
