Gene	I/C_0h	I/C_12h	I/C_18h	I/C_24h	I/C_2h	I/C_6h
ENSMUSG00000001376	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001380	-0.22181809	-1.460420991	-2.37563474	-2.058820106	-0.478789129	-0.958787069
ENSMUSG00000001383	1.506857638	2.505027651	2.727109683	3.05778879	2.067750838	2.086441224
ENSMUSG00000001403	-0.365629517	-1.572132713	-2.506255227	-3.294623602	-0.595488873	-0.99902736
ENSMUSG00000001415	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001416	-0.50046328	0.089825228	0.735396272	1.267300698	-0.339902715	-0.462781925
ENSMUSG00000001418	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001419	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000001424	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001435	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001440	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000001441	-0.310947913	-0.030634383	0.375213827	1.345914221	0.125657011	-0.560333627
ENSMUSG00000001445	-0.191635154	0.400892511	-0.64455408	-1.339880364	-0.084543089	-0.155512109
ENSMUSG00000001467	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000001472	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000001473	-0.564331052	-0.547735216	-0.825584965	-1.144627976	-0.102372343	-0.609999737
ENSMUSG00000001494	-0.280829537	0.266171822	0.472396744	1.302988048	-0.763220786	-0.491873325
ENSMUSG00000001517	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001518	0.171793955	0.711736655	1.570100778	1.781236774	0.445968122	-0.103071846
ENSMUSG00000001521	1.697294619	2.2330336	3.298952111	3.483463117	2.262754255	2.338131127
ENSMUSG00000001525	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000001542	1.867729592	1.903324475	2.584278723	3.50439436	1.727617986	1.556607935
ENSMUSG00000001558	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001569	-0.280829537	0.266171822	0.472396744	1.302988048	-0.763220786	-0.491873325
ENSMUSG00000001576	-0.22181809	-1.460420991	-2.37563474	-2.058820106	-0.478789129	-0.958787069
ENSMUSG00000001588	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000001627	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000001630	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001632	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001642	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001661	1.867729592	1.903324475	2.584278723	3.50439436	1.727617986	1.556607935
ENSMUSG00000001665	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000001666	-0.557441248	-0.724834737	0.361784942	-0.68346921	-0.923317483	-0.312658882
ENSMUSG00000001674	-0.365629517	-1.572132713	-2.506255227	-3.294623602	-0.595488873	-0.99902736
ENSMUSG00000001687	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001707	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001729	-0.04045424	-0.55363168	-0.334940475	-1.158084539	-0.146630466	-0.185064801
ENSMUSG00000001739	-0.280829537	0.266171822	0.472396744	1.302988048	-0.763220786	-0.491873325
ENSMUSG00000001741	-0.12347839	-0.666278234	-1.938896241	-2.088102448	-0.721530448	-1.689470105
ENSMUSG00000001751	0.243643446	0.766410014	1.031902571	0.995317693	-0.236157684	-0.661821817
ENSMUSG00000001761	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000001763	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000001767	-0.310947913	-0.030634383	0.375213827	1.345914221	0.125657011	-0.560333627
ENSMUSG00000001774	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000001783	0.22137668	-0.055182635	-1.101062264	-1.730774626	0.212964062	-0.008261878
ENSMUSG00000001785	-0.365629517	-1.572132713	-2.506255227	-3.294623602	-0.595488873	-0.99902736
ENSMUSG00000001786	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000001794	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001829	-0.646700262	0.607843629	2.000933841	1.991420547	-1.087775823	0.457735496
ENSMUSG00000001833	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000001847	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000001855	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001870	-0.646700262	0.607843629	2.000933841	1.991420547	-1.087775823	0.457735496
ENSMUSG00000001891	-0.617414835	-0.073135136	-0.767595837	-0.991227544	-0.205547553	0.080153309
ENSMUSG00000001910	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001911	-0.646700262	0.607843629	2.000933841	1.991420547	-1.087775823	0.457735496
ENSMUSG00000001918	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000001930	-0.989669744	-0.076212742	-0.371697356	-1.606081066	-0.532060272	-0.149652516
ENSMUSG00000001942	-0.989669744	-0.076212742	-0.371697356	-1.606081066	-0.532060272	-0.149652516
ENSMUSG00000001946	-0.136354506	-1.114090468	-2.074662979	-2.014996851	-0.50457517	-0.592871519
ENSMUSG00000001948	-0.280829537	0.266171822	0.472396744	1.302988048	-0.763220786	-0.491873325
ENSMUSG00000001962	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000001964	-0.12347839	-0.666278234	-1.938896241	-2.088102448	-0.721530448	-1.689470105
ENSMUSG00000001983	-0.12347839	-0.666278234	-1.938896241	-2.088102448	-0.721530448	-1.689470105
ENSMUSG00000001998	-0.223508992	0.283311456	-0.331679068	-1.877501317	0.514520678	0.14901162
