prot	IKA0h	IKA2h	IKA6h	IKA12h	IKA18h	IKA24h
Cops2	0.0112721447939488	-0.00975245495278754	-0.0472687555685933	-0.0203286053742117	-0.111095584170947	0.000329702132006005
Mtap	0.197026200679874	0.161851490212967	-0.00984438635717721	-0.0321257002696629	-0.218886702988499	0.0684133321399485
Serbp1	-0.00497440174101543	0.0197326753488214	0.029102946182535	0.0942191309977323	-0.107886974303195	-0.181403658352199
Impdh1	0.0050545810953973	-0.0373996769562504	-0.0393803058995517	-0.0654092980868968	-0.129701641202038	-0.103858562911752
Cnbp	-0.00353134420212525	0.0227501342152122	-0.0260443420428464	-0.0404499491604531	-0.076159474942317	-0.0590530849950205
Acaca	-0.00881975470470248	-0.047410762872738	-0.0323629978838486	-0.0300923347955088	-0.0631861896181112	-0.0399986328096202
Rpl23a	-0.00945447271838873	0.0518642516689714	0.0176017645822342	0.0316977570455114	-0.0412426843759839	-0.0789534285526559
Polr2b	0.00444859714108409	-0.016513484705226	0.0239961679244732	0.0340650734218776	0.0779565180006361	0.0536437794602118
Tpt1	-0.00259828632682751	-0.0605061946237059	0.0513410526670002	0.146794436771269	0.0332789829312176	-0.0544202405666872
Vim	0.0545396263699823	0.0499490540067546	0.0444603876496029	0.111313947623818	0.00806039425244109	0.105738584270211
Prkaca	0.0246613409788719	0.012999704293164	0.0125079531347972	0.0385529733060282	0.05063039358737	0.107677977338236
Lamtor1	0.00683562585598765	-0.0230907316248168	0.00209004489805564	0.0490634817083594	0.0120652733429518	0.0514597229658771
Ube2n	-0.00818169367216004	0.0776698935835425	0.126023205969362	-0.0605677592720574	0.173081809291852	-0.165791351599409
Cpsf3	-0.0148665226216807	-0.0317116231499199	-0.015401347204178	-0.0380245082419335	-0.0190212673260461	-0.0486868787516654
Cap1	-0.107189406438602	-0.069769222828889	0.0211020664954231	0.00841291938834354	0.123185819178471	-0.0687676854084076
Fubp1	-0.0254292065623071	0.0419628561377181	0.0241318403402958	-0.13024234181665	0.162965053543844	0.0223692359701095
Pgls	0.0119960336510743	0.0631618654054302	0.0127815309849525	0.0138520043695688	0.0602282267519124	0.0841568560567848
Nutf2	0.0366192027776614	0.0869163113959349	0.0393674139651898	-0.0343721279332096	-0.039104922806627	-0.132262503936564
Glod4	-0.0464404906901008	0.0158670276039302	-0.0997675242268448	-0.0868554994611579	-0.163625479040448	-0.00588342734989805
Dhrs1	0.0121182453551416	0.0302782789686739	0.0287204543885831	0.0535257932881536	0.0771900000168481	0.0945025403586113
Calm1	-0.0558825412710161	0.0238428956264685	0.00390428740164106	-0.0301440189233031	0.0313823839057499	-0.0641787004220012
Luc7l3	-0.0113317296408622	-0.0416343389302536	-0.00511496873178957	0.0567477896009856	-0.0455669794340026	-0.0297292120136676
Arpc4	0.0165357604972277	0.0162607337645234	0.0274560029500187	-0.00983338926758043	-0.0205798476160283	-0.102819261110289
Slc2a1	0.210126544351282	0.179186719938909	0.102544777495838	0.151128196998905	-0.239666757237037	-0.131955008564715
Rpl29	-0.00336134111887743	-0.0452838841874683	-0.000596773105520865	0.0232874125634411	-0.106168486701646	-0.171994466832726
Cops6	0.157498997980954	0.212804581447659	0.0351045951360873	0.0587171735121446	-0.00828155226758565	0.278463429323462
Dut	0.0313651201858737	0.0558876401846058	0.107367670010174	-0.0270404861997845	0.0872058626396699	-0.166579376971377
Msn	0.0322687041416928	0.130503641256169	-0.0189017159753357	0.221502849958845	-0.263271328104886	-0.0322879240304682
Hirip3	-0.0890314574165467	-0.011079066864899	-0.160513005197217	-0.149645410004149	-0.263746643116111	-0.120484682875389
Snrpf	-0.0105487899628808	0.00169644530716406	0.00722852274533725	0.00896668396792211	-0.00273640216928256	-0.0254511545829259
Tkt	0.0121391803837647	0.0740194613896154	0.00762618767491896	-0.00837843220390966	-0.0406358232470687	-0.0499922709063148
Sod1	-0.164798734299266	0.0568101741137276	0.0537042941304388	0.00439064827893576	0.134985426253178	-0.153631319556051
Tfrc	-0.0670763785235149	-0.108034697903829	-0.0155092533806637	-0.0562509303439955	0.0414739632965924	-0.0922951086888997
Krr1	-0.0133505806573645	-0.0212199729151353	-0.0105292766330174	-0.0139191458806506	-0.0245727446136402	-0.0373180942617734
Ywhaz	-0.0274367514688265	0.074031758306902	-0.00906361736986205	-0.0728895014983827	-0.091119409946079	-0.170278000748391
Fam76b	0.0149048614041731	0.0070606032370002	0.0329440204600125	0.0363667571139294	0.0667065517610366	0.0351441833679321
Adssl1	0.0862592369229981	0.116728424819599	0.0527193541558467	0.0661300305276242	0.0853907341337597	0.186306674223923
